"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR033W",526.109394517564,3.59813243531049,0.0928952916912081,38.7332056318956,0,0
"YDR077W",4179.92901149241,3.77752034201114,0.0313871515672114,120.352442110654,0,0
"YDR345C",3777.27067551678,1.01048048157509,0.0214132352248243,47.1895288575376,0,0
"YOR153W",954.798507161321,2.49574619795024,0.0578354893519138,43.1525042135337,0,0
"YGL008C",3291.41129231876,1.05316155349949,0.0233962423243819,45.0141325644398,0,0
"YGR192C",26889.525396131,1.12763283255898,0.00743447516041142,151.676185369967,0,0
"YLL026W",1172.62834268491,1.88999651819683,0.0484071472057221,39.0437492662946,0,0
"YLR058C",816.880593995117,3.14260778180948,0.0693264900386778,45.3305479630686,0,0
"YPL061W",2424.58531014806,1.49109132566669,0.0296200271470481,50.3406468287216,0,0
"YML123C",901.703635217256,5.05539898317969,0.102427987352045,49.3556411081699,0,0
"YMR120C",530.148365325121,3.69701140372594,0.0951142086654016,38.8691811202625,0,0
"YBR196C",2783.6673450039,1.03336885100123,0.0264317272612054,39.0957745889704,0,0
"YJL052W",1582.09390513418,1.44746821516495,0.0385289337620731,37.5683434196096,0,0
"YHR092C",1359.18683066128,2.472223141404,0.0475761372177885,51.9635112469712,0,0
"YHR174W",16864.0715593928,1.52625787955651,0.00972232107541855,156.984928569725,0,0
"YCL030C",698.35893429972,2.78023124422693,0.0700530362592557,39.6875195236037,0,0
"YFR015C",994.5883991806,3.29438168989658,0.0640396129331158,51.4428732312497,0,0
"YFR053C",1419.8151036345,1.98980327421861,0.0434084748284166,45.8390506020733,0,0
"YAL038W",3253.04608794442,1.67489901567199,0.0247081337256099,67.7873543292327,0,0
"YJR104C",2484.65759042954,1.04392112545545,0.0285470595637287,36.568429162555,9.08571589856946e-293,1.93839049187756e-290
"YGR234W",415.907549628499,4.36501043655563,0.12436338544067,35.0988389475618,7.02136663262064e-270,1.40132888245238e-267
"YLR258W",675.390437796371,2.35753240666205,0.0679519686697346,34.6941001535998,9.66954977042702e-264,1.81289407362521e-261
"YBR067C",502.612598335088,2.68493188760603,0.0809745742683563,33.1577153923396,4.3841164333638e-241,7.53459121478384e-239
"YPR145W",916.253908039873,1.76961828938042,0.0558053720139292,31.7105365579987,1.11207060394952e-220,1.81062653332517e-218
"YKR080W",346.982476728993,3.65883594269118,0.116499715828563,31.406393712371,1.65497013290321e-216,2.62546159289029e-214
"YPR160W",432.842006405799,2.6622549175434,0.0866705548259984,30.7169479056434,3.38044369541801e-207,5.22870128588781e-205
"YER081W",594.358270569821,-2.94638179539562,0.0989846819142209,-29.7660379203817,1.07542549591697e-194,1.5842041769615e-192
"YLR327C",520.828934242877,2.27740091468468,0.076840503386556,29.6380270080731,4.83855296253432e-193,6.96189004167438e-191
"YOL109W",390.450231970092,2.71673880142777,0.0923955368007785,29.4033553513039,4.97517839211397e-190,6.99577925272935e-188
"YNL208W",1597.55883462765,1.09361512903151,0.0377467820411905,28.9724069150616,1.46543604790433e-184,1.97101148443133e-182
"YOL155C",346.681487012972,2.79710075654625,0.0987642114702994,28.3209951753364,1.90590097019652e-176,2.40649169440937e-174
"YGL234W",672.100160222828,1.86955585698187,0.066020020386337,28.3180139303437,2.07401686009497e-176,2.56638846268151e-174
"YDR342C",309.221743004401,3.16606491482071,0.111951091729911,28.2807864210833,5.95550286867666e-176,7.22484240166716e-174
"YMR122W-A",1409.97038112267,1.12992909750756,0.0414789013267019,27.2410565701309,2.12108753735099e-163,2.43021640622047e-161
"YEL040W",647.251769309427,1.80360689620407,0.0664480448765231,27.1431145875792,3.05317736548653e-162,3.43454697459367e-160
"YOR128C",394.406224198494,2.36085384620345,0.0876191595792362,26.9444931626908,6.61815082689135e-160,7.31187485106728e-158
"YPR149W",420.681777242749,2.25246335143006,0.083865978884289,26.8578913809355,6.82186237267874e-159,7.40471271925673e-157
"YMR008C",373.984288669232,2.38999217696565,0.0894074043020662,26.7314792955064,2.02757224127405e-157,2.1262016028411e-155
"YCL025C",346.616682630508,2.51689313874069,0.0957505845174891,26.2859297561883,2.77767798115143e-152,2.81729404416129e-150
"YMR105C",703.14968534966,1.60457767444415,0.0611948051236016,26.2208151689219,1.5387660550606e-151,1.53553961010644e-149
"YLR355C",1228.20832582639,1.1890818068957,0.0454367759604918,26.1700303720852,5.83131852154732e-151,5.72672503060528e-149
"YIL169C",242.469257183161,3.54401716348716,0.135692679226053,26.1179688079054,2.27900993768542e-150,2.20316163819682e-148
"YAL061W",285.068873865663,2.70275005461935,0.107370162822653,25.1722637236155,8.06373171265465e-140,7.55913759184762e-138
"YLR359W",641.288080753762,1.66040499533096,0.0664844147877917,24.9743492611121,1.16167124727729e-137,1.07272537416487e-135
"YAL005C",809.292563113077,1.35844183234822,0.0567646110496828,23.9311396172388,1.45250491250502e-126,1.28380684195265e-124
"YAR015W",368.253048759804,2.07345215087138,0.0872304011641065,23.7698339478068,6.85283812220924e-125,5.80801499480939e-123
"YER011W",187.260036270054,4.2143938696981,0.177362277254044,23.761500669399,8.35665498726963e-125,6.986841135978e-123
"YOL158C",320.517968280456,2.25307158524716,0.0956513310202697,23.5550468688168,1.11442560935321e-122,9.19326832675775e-121
